! Vector Network Analyzer VNA R2,,,,,,,
! Tucson Amateur Packet Radio,,,,,,,
! Friday, March 02, 2012   2:56:46 PM,,,,,
50+j0,50,,Unity,1,,,
,,,,,,,
Frequency (Hz.),S11,S21,S12,S22,,Zin,Zout
14663316,-0.984579+0.0145761i,0.607005-0.532896i,0.607005-0.532896i,-0.984579+0.0145761i,,0.385802659830245+0.370067655734517i,0.385802659830245+0.370067655734517i
14804020,-0.984049+0.0151048i,0.603201-0.535364i,0.603201-0.535364i,-0.984049+0.0151048i,,0.399059891512201+0.383694011513482i,0.399059891512201+0.383694011513482i
14944723,-0.9848+0.0146375i,0.59164-0.539694i,0.59164-0.539694i,-0.9848+0.0146375i,,0.380170057708935+0.371543600977285i,0.380170057708935+0.371543600977285i
15085427,-0.983813+0.0137814i,0.584077-0.543211i,0.584077-0.543211i,-0.983813+0.0137814i,,0.405544401756246+0.350163533366483i,0.405544401756246+0.350163533366483i
15226130,-0.983816+0.0135959i,0.577996-0.53651i,0.577996-0.53651i,-0.983816+0.0135959i,,0.40553322525182+0.345449673345311i,0.40553322525182+0.345449673345311i
15366834,-0.984471+0.0137273i,0.577237-0.533621i,0.577237-0.533621i,-0.984471+0.0137273i,,0.388851861394676+0.348557820273979i,0.388851861394676+0.348557820273979i
15507537,-0.982692+0.0138075i,0.578211-0.531683i,0.578211-0.531683i,-0.982692+0.0138075i,,0.434031348524927+0.351223431498567i,0.434031348524927+0.351223431498567i
15648241,-0.982734+0.0143168i,0.578113-0.532711i,0.578113-0.532711i,-0.982734+0.0143168i,,0.432779368337514+0.364161816794696i,0.432779368337514+0.364161816794696i
15788944,-0.983457+0.0147347i,0.578205-0.528521i,0.578205-0.528521i,-0.983457+0.0147347i,,0.414242205208511+0.374517186216332i,0.414242205208511+0.374517186216332i
15929648,-0.983725+0.0141211i,0.570793-0.529344i,0.570793-0.529344i,-0.983725+0.0141211i,,0.407658816541646+0.358825739915697i,0.407658816541646+0.358825739915697i
16070351,-0.984279+0.0146359i,0.571042-0.530944i,0.571042-0.530944i,-0.984279+0.0146359i,,0.393397230865244+0.371698094134555i,0.393397230865244+0.371698094134555i
16211055,-0.984315+0.0138595i,0.570631-0.530619i,0.570631-0.530619i,-0.984315+0.0138595i,,0.392766207695635+0.351969593162153i,0.392766207695635+0.351969593162153i
16351758,-0.983123+0.0137031i,0.566153-0.528599i,0.566153-0.528599i,-0.983123+0.0137031i,,0.423108205105984+0.348416560165651i,0.423108205105984+0.348416560165651i
16492462,-0.987331+0.0155751i,0.560588-0.528307i,0.560588-0.528307i,-0.987331+0.0155751i,,0.315653615399905+0.394333574339259i,0.315653615399905+0.394333574339259i
16633165,-0.98354+0.0143045i,0.55895-0.529776i,0.55895-0.529776i,-0.98354+0.0143045i,,0.412292946383678+0.363553366431504i,0.412292946383678+0.363553366431504i
16773869,-0.9836+0.0135831i,0.556038-0.529651i,0.556038-0.529651i,-0.9836+0.0135831i,,0.411025972354909+0.345199640494602i,0.411025972354909+0.345199640494602i
16914572,-0.983547+0.0137772i,0.553094-0.524034i,0.553094-0.524034i,-0.983547+0.0137772i,,0.412304777015099+0.350150717564994i,0.412304777015099+0.350150717564994i
17055276,-0.983783+0.0138648i,0.548077-0.528565i,0.548077-0.528565i,-0.983783+0.0138648i,,0.406277061258252+0.352293043240583i,0.406277061258252+0.352293043240583i
17195979,-0.984213+0.0136138i,0.547643-0.528879i,0.547643-0.528879i,-0.984213+0.0136138i,,0.3954428331177+0.345766044089772i,0.3954428331177+0.345766044089772i
17336683,-0.984065+0.0135799i,0.542796-0.528715i,0.542796-0.528715i,-0.984065+0.0135799i,,0.399213495587333+0.344956581235356i,0.399213495587333+0.344956581235356i
17477386,-0.984245+0.0134007i,0.539762-0.529116i,0.539762-0.529116i,-0.984245+0.0134007i,,0.394703861054187+0.340343207633547i,0.394703861054187+0.340343207633547i
17618090,-0.984468+0.0133061i,0.535708-0.527211i,0.535708-0.527211i,-0.984468+0.0133061i,,0.389073714489735+0.337864885577581i,0.389073714489735+0.337864885577581i
17758793,-0.984483+0.0133109i,0.532551-0.528395i,0.532551-0.528395i,-0.984483+0.0133109i,,0.388691241049686+0.337981645718551i,0.388691241049686+0.337981645718551i
17899497,-0.984314+0.0125383i,0.52944-0.529252i,0.52944-0.529252i,-0.984314+0.0125383i,,0.393237941575317+0.318420136774146i,0.393237941575317+0.318420136774146i
18040201,-0.985006+0.0129303i,0.526262-0.529433i,0.526262-0.529433i,-0.985006+0.0129303i,,0.375543942702576+0.328145555148109i,0.375543942702576+0.328145555148109i
18180904,-0.984913+0.01294i,0.521154-0.526883i,0.521154-0.526883i,-0.984913+0.01294i,,0.377900801293534+0.328422473110277i,0.377900801293534+0.328422473110277i
18321608,-0.98437+0.0127892i,0.517513-0.529076i,0.517513-0.529076i,-0.98437+0.0127892i,,0.391734612005376+0.324773087831332i,0.391734612005376+0.324773087831332i
18462311,-0.984719+0.0124444i,0.513073-0.530026i,0.513073-0.530026i,-0.984719+0.0124444i,,0.38298556656556+0.315906697917724i,0.38298556656556+0.315906697917724i
18603015,-0.985296+0.0112538i,0.51001-0.531063i,0.51001-0.531063i,-0.985296+0.0112538i,,0.368704127031899+0.285518795436444i,0.368704127031899+0.285518795436444i
18743718,-0.985612+0.0126764i,0.505478-0.530929i,0.505478-0.530929i,-0.985612+0.0126764i,,0.360253895436354+0.321506277399668i,0.360253895436354+0.321506277399668i
18884422,-0.985883+0.012468i,0.500322-0.530829i,0.500322-0.530829i,-0.985883+0.012468i,,0.353449035429955+0.316134839048293i,0.353449035429955+0.316134839048293i
19025125,-0.985559+0.0128124i,0.496594-0.53244i,0.496594-0.53244i,-0.985559+0.0128124i,,0.361553759122727+0.324972650716188i,0.361553759122727+0.324972650716188i
19165829,-0.985452+0.0121478i,0.490388-0.530967i,0.490388-0.530967i,-0.985452+0.0121478i,,0.364479550155209+0.308150297604462i,0.364479550155209+0.308150297604462i
19306532,-0.98715+0.0117948i,0.488537-0.532777i,0.488537-0.532777i,-0.98715+0.0117948i,,0.321554520580131+0.298685389255636i,0.321554520580131+0.298685389255636i
19447236,-0.988737+0.0109174i,0.485857-0.534941i,0.485857-0.534941i,-0.988737+0.0109174i,,0.281654388582761+0.276026912367957i,0.281654388582761+0.276026912367957i
19587939,-0.987424+0.0114377i,0.483648-0.533292i,0.483648-0.533292i,-0.987424+0.0114377i,,0.314723010201435+0.289563126627122i,0.314723010201435+0.289563126627122i
19728643,-0.986837+0.0120401i,0.477193-0.535479i,0.477193-0.535479i,-0.986837+0.0120401i,,0.329406919393548+0.304992856610879i,0.329406919393548+0.304992856610879i
19869346,-0.987328+0.0132324i,0.473285-0.538851i,0.473285-0.538851i,-0.987328+0.0132324i,,0.316589301853965+0.335027351437635i,0.316589301853965+0.335027351437635i
20010050,-0.98673+0.0120783i,0.465738-0.538411i,0.465738-0.538411i,-0.98673+0.0120783i,,0.33210558047496+0.305993401636181i,0.33210558047496+0.305993401636181i
20150753,-0.985679+0.0127132i,0.463022-0.537921i,0.463022-0.537921i,-0.985679+0.0127132i,,0.358542865287545+0.322417786135107i,0.358542865287545+0.322417786135107i
20291457,-0.986021+0.0127818i,0.458137-0.539733i,0.458137-0.539733i,-0.986021+0.0127818i,,0.349849327765061+0.324045769978075i,0.349849327765061+0.324045769978075i
20432160,-0.987107+0.0119047i,0.450655-0.541246i,0.450655-0.541246i,-0.987107+0.0119047i,,0.322610184410046+0.30148128785332i,0.322610184410046+0.30148128785332i
20572864,-0.987415+0.011028i,0.439826-0.544537i,0.439826-0.544537i,-0.987415+0.011028i,,0.31506808960699+0.279194114411024i,0.31506808960699+0.279194114411024i
20713567,-0.988101+0.0105249i,0.440808-0.545534i,0.440808-0.545534i,-0.988101+0.0105249i,,0.297845779346373+0.266274096257203i,0.297845779346373+0.266274096257203i
20854271,-0.987594+0.011441i,0.434675-0.550441i,0.434675-0.550441i,-0.987594+0.011441i,,0.310418888024885+0.28959712219794i,0.310418888024885+0.28959712219794i
20994974,-0.987465+0.0115569i,0.426514-0.550898i,0.426514-0.550898i,-0.987465+0.0115569i,,0.313650209745745+0.292568585665162i,0.313650209745745+0.292568585665162i
21135678,-0.987717+0.0114305i,0.422115-0.55321i,0.422115-0.55321i,-0.987717+0.0114305i,,0.307308941436919+0.289295556085245i,0.307308941436919+0.289295556085245i
